eval_variant,class_index,num_examples,num_correct,accuracy,class_name
blur,0,95,34,0.35789473684210527,lasagna
blur,1,87,27,0.3103448275862069,grilled_cheese_sandwich
blur,2,82,12,0.14634146341463414,strudel
blur,3,75,50,0.6666666666666666,greek_salad
blur,4,62,33,0.532258064516129,scotch_egg
blur,5,60,31,0.5166666666666667,waffle
blur,6,92,37,0.40217391304347827,chocolate_mousse
blur,7,82,5,0.06097560975609756,brisket
blur,8,98,28,0.2857142857142857,compote
blur,9,92,44,0.4782608695652174,croquette
blur,10,78,53,0.6794871794871795,stuffed_peppers
blur,11,83,9,0.10843373493975904,confit
blur,12,57,13,0.22807017543859648,salisbury_steak
blur,13,91,22,0.24175824175824176,ambrosia_food
blur,14,94,41,0.43617021276595747,fritter
blur,15,80,20,0.25,beef_stroganoff
blur,16,89,72,0.8089887640449438,caprese_salad
blur,17,68,12,0.17647058823529413,fried_calamari
blur,18,57,35,0.6140350877192983,poutine
blur,19,5,0,0.0,marble_cake
blur,20,68,19,0.27941176470588236,beef_bourguignonne
blur,21,75,14,0.18666666666666668,chicken_curry
blur,22,95,46,0.4842105263157895,dumpling
blur,23,81,28,0.345679012345679,crumpet
blur,24,65,3,0.046153846153846156,tamale
blur,25,81,11,0.13580246913580246,grilled_salmon
blur,26,68,1,0.014705882352941176,pilaf
blur,27,60,0,0.0,rugulah
blur,28,87,24,0.27586206896551724,crab_cake
blur,29,90,27,0.3,coconut_cake
blur,30,67,36,0.5373134328358209,scrambled_eggs
blur,31,62,7,0.11290322580645161,haggis
blur,32,67,35,0.5223880597014925,tuna_tartare
blur,33,72,5,0.06944444444444445,carbonnade_flamande
blur,34,68,7,0.10294117647058823,entrecote
blur,35,83,7,0.08433734939759036,lobster_food
blur,36,99,16,0.16161616161616163,crab_food
blur,37,97,34,0.35051546391752575,barbecued_wing
blur,38,72,49,0.6805555555555556,poached_egg
blur,39,57,6,0.10526315789473684,spaghetti_bolognese
blur,40,77,30,0.38961038961038963,frozen_yogurt
blur,41,51,10,0.19607843137254902,welsh_rarebit
blur,42,86,29,0.3372093023255814,donut
blur,43,73,4,0.0547945205479452,rigatoni
blur,44,79,34,0.43037974683544306,ham_sandwich
blur,45,85,67,0.788235294117647,edamame
blur,46,72,11,0.1527777777777778,taco
blur,47,80,4,0.05,adobo
blur,48,84,31,0.36904761904761907,croque_madame
blur,49,78,48,0.6153846153846154,risotto
blur,50,63,14,0.2222222222222222,spaghetti_carbonara
blur,51,82,35,0.4268292682926829,wonton
blur,52,92,42,0.45652173913043476,bacon_and_eggs
blur,53,65,18,0.27692307692307694,cheesecake
blur,54,58,14,0.2413793103448276,blancmange
blur,55,84,15,0.17857142857142858,gingerbread
blur,56,98,19,0.19387755102040816,chiffon_cake
blur,57,81,17,0.20987654320987653,tempura
blur,58,56,28,0.5,hot_and_sour_soup
blur,59,86,68,0.7906976744186046,boiled_egg
blur,60,98,8,0.08163265306122448,coffee_cake
blur,61,81,15,0.18518518518518517,tenderloin
blur,62,77,33,0.42857142857142855,upside_down_cake
blur,63,71,47,0.6619718309859155,beef_wellington
blur,64,87,11,0.12643678160919541,terrine
blur,65,60,17,0.2833333333333333,kedgeree
blur,66,51,2,0.0392156862745098,scrapple
blur,67,75,17,0.22666666666666666,ravioli
blur,68,82,50,0.6097560975609756,cottage_pie
blur,69,76,50,0.6578947368421053,guacamole
blur,70,105,16,0.1523809523809524,huitre
blur,71,92,1,0.010869565217391304,torte
blur,72,79,5,0.06329113924050633,filet_mignon
blur,73,98,12,0.12244897959183673,crumb_cake
blur,74,70,5,0.07142857142857142,jerky
blur,75,60,20,0.3333333333333333,tamale_pie
blur,76,77,35,0.45454545454545453,applesauce
blur,77,55,7,0.12727272727272726,pho
blur,78,84,0,0.0,fried_rice
blur,79,74,19,0.25675675675675674,savarin
