eval_variant,class_index,num_examples,num_correct,accuracy,class_name
lowres,0,95,17,0.17894736842105263,lasagna
lowres,1,87,12,0.13793103448275862,grilled_cheese_sandwich
lowres,2,82,2,0.024390243902439025,strudel
lowres,3,75,46,0.6133333333333333,greek_salad
lowres,4,62,19,0.3064516129032258,scotch_egg
lowres,5,60,23,0.38333333333333336,waffle
lowres,6,92,24,0.2608695652173913,chocolate_mousse
lowres,7,82,3,0.036585365853658534,brisket
lowres,8,98,20,0.20408163265306123,compote
lowres,9,92,37,0.40217391304347827,croquette
lowres,10,78,36,0.46153846153846156,stuffed_peppers
lowres,11,83,5,0.060240963855421686,confit
lowres,12,57,9,0.15789473684210525,salisbury_steak
lowres,13,91,18,0.1978021978021978,ambrosia_food
lowres,14,94,31,0.32978723404255317,fritter
lowres,15,80,9,0.1125,beef_stroganoff
lowres,16,89,63,0.7078651685393258,caprese_salad
lowres,17,68,7,0.10294117647058823,fried_calamari
lowres,18,57,29,0.5087719298245614,poutine
lowres,19,5,0,0.0,marble_cake
lowres,20,68,7,0.10294117647058823,beef_bourguignonne
lowres,21,75,5,0.06666666666666667,chicken_curry
lowres,22,95,40,0.42105263157894735,dumpling
lowres,23,81,17,0.20987654320987653,crumpet
lowres,24,65,1,0.015384615384615385,tamale
lowres,25,81,6,0.07407407407407407,grilled_salmon
lowres,26,68,0,0.0,pilaf
lowres,27,60,1,0.016666666666666666,rugulah
lowres,28,87,13,0.14942528735632185,crab_cake
lowres,29,90,8,0.08888888888888889,coconut_cake
lowres,30,67,22,0.3283582089552239,scrambled_eggs
lowres,31,62,5,0.08064516129032258,haggis
lowres,32,67,34,0.5074626865671642,tuna_tartare
lowres,33,72,0,0.0,carbonnade_flamande
lowres,34,68,3,0.04411764705882353,entrecote
lowres,35,83,1,0.012048192771084338,lobster_food
lowres,36,99,8,0.08080808080808081,crab_food
lowres,37,97,22,0.2268041237113402,barbecued_wing
lowres,38,72,45,0.625,poached_egg
lowres,39,57,1,0.017543859649122806,spaghetti_bolognese
lowres,40,77,21,0.2727272727272727,frozen_yogurt
lowres,41,51,6,0.11764705882352941,welsh_rarebit
lowres,42,86,25,0.29069767441860467,donut
lowres,43,73,3,0.0410958904109589,rigatoni
lowres,44,79,31,0.3924050632911392,ham_sandwich
lowres,45,85,71,0.8352941176470589,edamame
lowres,46,72,7,0.09722222222222222,taco
lowres,47,80,2,0.025,adobo
lowres,48,84,15,0.17857142857142858,croque_madame
lowres,49,78,29,0.3717948717948718,risotto
lowres,50,63,3,0.047619047619047616,spaghetti_carbonara
lowres,51,82,34,0.4146341463414634,wonton
lowres,52,92,26,0.2826086956521739,bacon_and_eggs
lowres,53,65,14,0.2153846153846154,cheesecake
lowres,54,58,20,0.3448275862068966,blancmange
lowres,55,84,7,0.08333333333333333,gingerbread
lowres,56,98,4,0.04081632653061224,chiffon_cake
lowres,57,81,10,0.12345679012345678,tempura
lowres,58,56,23,0.4107142857142857,hot_and_sour_soup
lowres,59,86,68,0.7906976744186046,boiled_egg
lowres,60,98,1,0.01020408163265306,coffee_cake
lowres,61,81,5,0.06172839506172839,tenderloin
lowres,62,77,31,0.4025974025974026,upside_down_cake
lowres,63,71,34,0.4788732394366197,beef_wellington
lowres,64,87,6,0.06896551724137931,terrine
lowres,65,60,9,0.15,kedgeree
lowres,66,51,0,0.0,scrapple
lowres,67,75,12,0.16,ravioli
lowres,68,82,24,0.2926829268292683,cottage_pie
lowres,69,76,14,0.18421052631578946,guacamole
lowres,70,105,9,0.08571428571428572,huitre
lowres,71,92,2,0.021739130434782608,torte
lowres,72,79,2,0.02531645569620253,filet_mignon
lowres,73,98,4,0.04081632653061224,crumb_cake
lowres,74,70,2,0.02857142857142857,jerky
lowres,75,60,14,0.23333333333333334,tamale_pie
lowres,76,77,30,0.38961038961038963,applesauce
lowres,77,55,2,0.03636363636363636,pho
lowres,78,84,0,0.0,fried_rice
lowres,79,74,14,0.1891891891891892,savarin
