eval_variant,class_index,num_examples,num_correct,accuracy,class_name
occlusion,0,95,47,0.49473684210526314,lasagna
occlusion,1,87,57,0.6551724137931034,grilled_cheese_sandwich
occlusion,2,82,49,0.5975609756097561,strudel
occlusion,3,75,56,0.7466666666666667,greek_salad
occlusion,4,62,43,0.6935483870967742,scotch_egg
occlusion,5,60,25,0.4166666666666667,waffle
occlusion,6,92,57,0.6195652173913043,chocolate_mousse
occlusion,7,82,40,0.4878048780487805,brisket
occlusion,8,98,39,0.3979591836734694,compote
occlusion,9,92,62,0.6739130434782609,croquette
occlusion,10,78,65,0.8333333333333334,stuffed_peppers
occlusion,11,83,19,0.2289156626506024,confit
occlusion,12,57,14,0.24561403508771928,salisbury_steak
occlusion,13,91,34,0.37362637362637363,ambrosia_food
occlusion,14,94,42,0.44680851063829785,fritter
occlusion,15,80,53,0.6625,beef_stroganoff
occlusion,16,89,61,0.6853932584269663,caprese_salad
occlusion,17,68,29,0.4264705882352941,fried_calamari
occlusion,18,57,31,0.543859649122807,poutine
occlusion,19,5,0,0.0,marble_cake
occlusion,20,68,38,0.5588235294117647,beef_bourguignonne
occlusion,21,75,41,0.5466666666666666,chicken_curry
occlusion,22,95,50,0.5263157894736842,dumpling
occlusion,23,81,36,0.4444444444444444,crumpet
occlusion,24,65,23,0.35384615384615387,tamale
occlusion,25,81,40,0.49382716049382713,grilled_salmon
occlusion,26,68,30,0.4411764705882353,pilaf
occlusion,27,60,8,0.13333333333333333,rugulah
occlusion,28,87,31,0.3563218390804598,crab_cake
occlusion,29,90,43,0.4777777777777778,coconut_cake
occlusion,30,67,39,0.582089552238806,scrambled_eggs
occlusion,31,62,15,0.24193548387096775,haggis
occlusion,32,67,34,0.5074626865671642,tuna_tartare
occlusion,33,72,26,0.3611111111111111,carbonnade_flamande
occlusion,34,68,18,0.2647058823529412,entrecote
occlusion,35,83,30,0.3614457831325301,lobster_food
occlusion,36,99,30,0.30303030303030304,crab_food
occlusion,37,97,58,0.5979381443298969,barbecued_wing
occlusion,38,72,29,0.4027777777777778,poached_egg
occlusion,39,57,39,0.6842105263157895,spaghetti_bolognese
occlusion,40,77,43,0.5584415584415584,frozen_yogurt
occlusion,41,51,11,0.21568627450980393,welsh_rarebit
occlusion,42,86,47,0.5465116279069767,donut
occlusion,43,73,29,0.3972602739726027,rigatoni
occlusion,44,79,39,0.4936708860759494,ham_sandwich
occlusion,45,85,65,0.7647058823529411,edamame
occlusion,46,72,29,0.4027777777777778,taco
occlusion,47,80,31,0.3875,adobo
occlusion,48,84,48,0.5714285714285714,croque_madame
occlusion,49,78,48,0.6153846153846154,risotto
occlusion,50,63,49,0.7777777777777778,spaghetti_carbonara
occlusion,51,82,25,0.3048780487804878,wonton
occlusion,52,92,36,0.391304347826087,bacon_and_eggs
occlusion,53,65,31,0.47692307692307695,cheesecake
occlusion,54,58,16,0.27586206896551724,blancmange
occlusion,55,84,45,0.5357142857142857,gingerbread
occlusion,56,98,63,0.6428571428571429,chiffon_cake
occlusion,57,81,30,0.37037037037037035,tempura
occlusion,58,56,30,0.5357142857142857,hot_and_sour_soup
occlusion,59,86,56,0.6511627906976745,boiled_egg
occlusion,60,98,50,0.5102040816326531,coffee_cake
occlusion,61,81,37,0.4567901234567901,tenderloin
occlusion,62,77,55,0.7142857142857143,upside_down_cake
occlusion,63,71,61,0.8591549295774648,beef_wellington
occlusion,64,87,26,0.2988505747126437,terrine
occlusion,65,60,33,0.55,kedgeree
occlusion,66,51,15,0.29411764705882354,scrapple
occlusion,67,75,16,0.21333333333333335,ravioli
occlusion,68,82,55,0.6707317073170732,cottage_pie
occlusion,69,76,62,0.8157894736842105,guacamole
occlusion,70,105,46,0.4380952380952381,huitre
occlusion,71,92,37,0.40217391304347827,torte
occlusion,72,79,34,0.43037974683544306,filet_mignon
occlusion,73,98,58,0.5918367346938775,crumb_cake
occlusion,74,70,46,0.6571428571428571,jerky
occlusion,75,60,29,0.48333333333333334,tamale_pie
occlusion,76,77,34,0.44155844155844154,applesauce
occlusion,77,55,34,0.6181818181818182,pho
occlusion,78,84,50,0.5952380952380952,fried_rice
occlusion,79,74,18,0.24324324324324326,savarin
